Seed,Model,RE,RMSE,MAE
1,exp-1_det_s-1,0.0109204368174727,0.04338934479931694,0.037629394536154784
1,exp-1_gru_s-1,0.0046801872074883,0.02349776515816416,0.01962856830468174
1,exp-1_lstm_s-1,0.0452418096723869,0.022962745275200754,0.01850907469746802
2,exp-1_det_s-2,0.0031201248049922,0.019289172063952177,0.015752622786297285
2,exp-1_gru_s-2,0.0078003120124804995,0.014875900371816091,0.011128886876244047
2,exp-1_lstm_s-2,0.0265210608424337,0.12111947998915656,0.11637473588601792
3,exp-1_det_s-3,0.015600624024960999,0.03894298483963184,0.034049702277939596
3,exp-1_gru_s-3,0.0109204368174727,0.04309855414295415,0.038083024339245285
3,exp-1_lstm_s-3,0.0046801872074883,0.030097380008925655,0.02548277272316366
4,exp-1_det_s-4,0.0015600624024961,0.03399148273225831,0.029190687451939326
4,exp-1_gru_s-4,0.0015600624024961,0.02781341059479278,0.022972742515390616
4,exp-1_lstm_s-4,0.0109204368174727,0.023091157673253638,0.01759864342210027
5,exp-1_det_s-5,0.0078003120124804995,0.02705054994719904,0.021975643912449706
5,exp-1_gru_s-5,0.0530421216848674,0.039554217183773735,0.032384599644118786
5,exp-1_lstm_s-5,0.0358814352574103,0.01483331039056737,0.011774934518552937
