dataset,test_bat,seed,model,re,rmse,mae
CALCE,CS2_36,5,det,0.3109404990403071,0.033708459340882,0.0304122796971395
CALCE,CS2_36,5,model_v1,0.2533589251439539,0.0860250353704299,0.0754871726641649
CALCE,CS2_37,1,lstm,0.0948396094839609,0.0420201641743704,0.0364331773821685
CALCE,CS2_37,1,gru,0.100418410041841,0.0391901053466588,0.0293656114486397
CALCE,CS2_37,1,det,0.0864714086471408,0.0327122592323124,0.0212849544293508
CALCE,CS2_37,1,model_v1,0.0934449093444909,0.0362881323920825,0.0211303873593656
CALCE,CS2_37,2,lstm,0.1101813110181311,0.0668541365179825,0.0347988726333947
CALCE,CS2_37,2,gru,0.0906555090655509,0.0386090278494059,0.0330625052631222
CALCE,CS2_37,2,det,0.100418410041841,0.0422653319296192,0.0358463216331819
CALCE,CS2_37,2,model_v1,0.0990237099023709,0.0428261524387148,0.0232774732221504
CALCE,CS2_37,3,lstm,0.1087866108786611,0.0442890187318855,0.0248873146214331
CALCE,CS2_37,3,gru,0.1087866108786611,0.0445994328728187,0.0365741710945034
CALCE,CS2_37,3,det,0.0892608089260808,0.0503755894037595,0.0459955583154247
CALCE,CS2_37,3,model_v1,0.0850767085076708,0.0393981591830059,0.0319529880234926
CALCE,CS2_37,4,lstm,0.1129707112970711,0.0410811889879917,0.023925603224193
CALCE,CS2_37,4,gru,0.1394700139470014,0.0884900677916922,0.0862231646500769
CALCE,CS2_37,4,det,0.0669456066945606,0.0260374566009938,0.0150729167737285
CALCE,CS2_37,4,model_v1,0.0906555090655509,0.0359828949610981,0.0246613736028679
CALCE,CS2_37,5,lstm,0.103207810320781,0.0542205404184605,0.0513542293367746
CALCE,CS2_37,5,gru,0.0822873082287308,0.0371201695945437,0.0257086720037704
CALCE,CS2_37,5,det,0.0571827057182705,0.0211823462803534,0.0146641023792812
CALCE,CS2_37,5,model_v1,0.0683403068340306,0.0770964631601065,0.0672035778666991
CALCE,CS2_38,1,lstm,0.1219839142091152,0.0545869892389529,0.0448198280299919
CALCE,CS2_38,1,gru,0.1353887399463807,0.075333111812,0.0491587741023737
CALCE,CS2_38,1,det,0.0844504021447721,0.0387177802483509,0.0242718930599382
CALCE,CS2_38,1,model_v1,0.1300268096514745,0.0940989233671533,0.0880070883403836
CALCE,CS2_38,2,lstm,0.1380697050938338,0.102667077905352,0.0521475836144316
CALCE,CS2_38,2,gru,0.1836461126005362,0.0897052333487734,0.0851055745757534
CALCE,CS2_38,2,det,0.0576407506702412,0.031930296919431,0.0249803558927521
CALCE,CS2_38,2,model_v1,0.1058981233243967,0.0595581183219571,0.0364526104357707
CALCE,CS2_38,3,lstm,0.1367292225201072,0.0666366605933061,0.0370349248314424
CALCE,CS2_38,3,gru,0.1018766756032171,0.0535300144045059,0.0299179745083608
CALCE,CS2_38,3,det,0.1179624664879356,0.0563528776354524,0.0399899883578081
CALCE,CS2_38,3,model_v1,0.1099195710455764,0.0620238151085056,0.0538169904547977
CALCE,CS2_38,4,lstm,0.1394101876675603,0.0609402476063678,0.0345162789799511
CALCE,CS2_38,4,gru,0.113941018766756,0.0676723628901516,0.0612072940523637
CALCE,CS2_38,4,det,0.1112600536193029,0.0504856506408105,0.0385932029587632
CALCE,CS2_38,4,model_v1,0.0804289544235924,0.0609549233994387,0.0541504962107235
CALCE,CS2_38,5,lstm,0.1327077747989276,0.0660712153488032,0.0606863882612237
CALCE,CS2_38,5,gru,0.1340482573726541,0.0636053592970773,0.0508337616298868
CALCE,CS2_38,5,det,0.0884718498659517,0.0381409685957699,0.0262419924984095
CALCE,CS2_38,5,model_v1,0.0938337801608579,0.0471855185546859,0.0378628162553941
NASA,B0005,1,model_v2,0.16,0.0375380600466924,0.0361742832178329
NASA,B0005,2,model_v2,0.16,0.0567187528434889,0.0525900892094695
NASA,B0005,3,model_v2,0.144,0.0591989063664665,0.0543436950433105
NASA,B0005,4,model_v2,0.136,0.0608244123033963,0.0565240378706787
NASA,B0005,5,model_v2,0.168,0.0424530971914154,0.0409917110630092
NASA,B0006,1,model_v2,0.2018348623853211,0.0504600890996908,0.0436767215248236
NASA,B0006,2,model_v2,0.0825688073394495,0.0265671797894452,0.01978821996013
NASA,B0006,3,model_v2,0.1376146788990825,0.0240082349587373,0.018660430324609
NASA,B0006,4,model_v2,0.0458715596330275,0.0522544606035206,0.0400437550034631
NASA,B0006,5,model_v2,0.110091743119266,0.0348420024558596,0.0299904406060249
NASA,B0007,1,model_v2,0.301775147928994,0.0541407544093319,0.0488861508844451
NASA,B0007,2,model_v2,0.3313609467455621,0.0628384353739693,0.0604182043332406
NASA,B0007,3,model_v2,0.3195266272189349,0.0642805534830799,0.0619556371908288
NASA,B0007,4,model_v2,0.3431952662721893,0.5501802681548592,0.2756368287863801
NASA,B0007,5,model_v2,0.3372781065088757,0.07526316757017,0.0689769003352035
NASA,B0018,1,model_v2,0.0309278350515463,0.017788499164144,0.0147349066827368
NASA,B0018,2,model_v2,0.0412371134020618,0.0237198126601346,0.0167653911022236
NASA,B0018,3,model_v2,0.0721649484536082,0.0256887277228559,0.0174609499119515
NASA,B0018,4,model_v2,0.1030927835051546,0.0247319107157077,0.0195131499047226
NASA,B0018,5,model_v2,0.0412371134020618,0.0172074868560147,0.0144963223096987
CALCE,CS2_35,1,model_v2,0.0140405616224648,0.0795634778347177,0.0724803730041051
CALCE,CS2_35,2,model_v2,0.06396255850234,0.0764047648418191,0.0692170746592103
CALCE,CS2_35,3,model_v2,0.0218408736349454,0.0716042136051031,0.0642574609733806
CALCE,CS2_35,4,model_v2,0.0109204368174727,0.0631647110072301,0.0531298339185963
CALCE,CS2_35,5,model_v2,0.0265210608424337,0.0561663534904861,0.0489684088377487
CALCE,CS2_36,1,model_v2,0.272552783109405,0.0881751845679603,0.0829422757798142
CALCE,CS2_36,2,model_v2,0.3262955854126679,0.0849694672726817,0.0806370185376657
CALCE,CS2_36,3,model_v2,0.2706333973128599,0.0812420739789649,0.0770817999850617
CALCE,CS2_36,4,model_v2,0.2744721689059501,0.0600239498440196,0.0560699093086593
CALCE,CS2_36,5,model_v2,0.2859884836852207,0.0600048709212338,0.0572049089104533
CALCE,CS2_37,1,model_v2,0.0920502092050209,0.0789244289258058,0.0725634105845871
CALCE,CS2_37,2,model_v2,0.0488145048814504,0.075578697266843,0.0687537992954471
CALCE,CS2_37,3,model_v2,0.0864714086471408,0.0718939897801986,0.0660805460416423
CALCE,CS2_37,4,model_v2,0.0934449093444909,0.0638796529190161,0.0547641517029994
CALCE,CS2_37,5,model_v2,0.0808926080892608,0.0577001432321728,0.0518612732517202
CALCE,CS2_38,1,model_v2,0.1193029490616622,0.0827216935234346,0.0775000904558402
CALCE,CS2_38,2,model_v2,0.0777479892761394,0.079147913997536,0.0735550939408626
CALCE,CS2_38,3,model_v2,0.1152815013404825,0.0779029561311554,0.0727336154726305
CALCE,CS2_38,4,model_v2,0.1206434316353887,0.0691168114815132,0.0598729239768643
CALCE,CS2_38,5,model_v2,0.1099195710455764,0.0643057031187065,0.0581638468556784
NASA,B0005,1,model_v2_1,0.088,0.02211585012983,0.0200013322500967
NASA,B0005,1,model_v3,0.176,0.0378397228666481,0.0357546107417906
NASA,B0005,1,model_v4,0.184,0.0476935747346288,0.0455006050340586
NASA,B0005,2,model_v2_1,0.112,0.0520931572458619,0.0478820096395391
NASA,B0005,2,model_v3,0.144,0.0502513684882558,0.0474901123811305
NASA,B0005,2,model_v4,0.192,0.0418252837287113,0.0401251492083579
NASA,B0005,3,model_v2_1,0.152,0.0319498129331152,0.030451307158838
NASA,B0005,3,model_v3,0.168,0.0570014706035539,0.0541487145794601
NASA,B0005,3,model_v4,0.232,0.0479034698458819,0.0465755157447696
NASA,B0005,4,model_v2_1,0.208,0.0569585866048891,0.0548719978047033
NASA,B0005,4,model_v3,0.128,0.0793694232233373,0.0712130387921906
NASA,B0005,4,model_v4,0.184,0.0586122250419156,0.054965684275995
NASA,B0005,5,model_v2_1,0.176,0.039816024674534,0.0384531497888569
NASA,B0005,5,model_v3,0.192,0.0516475613102214,0.0492649653569234
NASA,B0005,5,model_v4,0.184,0.0340228110231226,0.0320555749222733
NASA,B0006,1,model_v2_1,0.2018348623853211,0.0490513375536369,0.0423270990712198
NASA,B0006,1,model_v3,0.146788990825688,0.0484337647316849,0.0415609686366017
NASA,B0006,1,model_v4,0.1559633027522936,0.0349341931703921,0.0301008217826482
NASA,B0006,2,model_v2_1,0.1926605504587156,0.0240908879125053,0.0202915175795054
NASA,B0006,2,model_v3,0.091743119266055,0.0324109766245884,0.0266245213950898
NASA,B0006,2,model_v4,0.1009174311926605,0.0344467557797831,0.029089891917247
NASA,B0006,3,model_v2_1,0.1926605504587156,0.052012324187312,0.0449476929920459
NASA,B0006,3,model_v3,0.0458715596330275,0.038559984801024,0.0299115764097678
NASA,B0006,3,model_v4,0.0642201834862385,0.0349064892894342,0.0292445614330248
NASA,B0006,4,model_v2_1,0.036697247706422,0.0267218081246257,0.0207316599152434
NASA,B0006,4,model_v3,0.073394495412844,0.0595808053086932,0.0498041341290362
NASA,B0006,4,model_v4,0.0642201834862385,0.0275206784251284,0.0209805221951996
NASA,B0006,5,model_v2_1,0.018348623853211,0.0280943679033853,0.0221778853327921
NASA,B0006,5,model_v3,0.1376146788990825,0.0293831313760963,0.025484213698778
NASA,B0006,5,model_v4,0.146788990825688,0.051580873485419,0.0440627110675383
NASA,B0007,1,model_v2_1,0.2366863905325443,0.0361448860510598,0.0294504207386451
NASA,B0007,1,model_v3,0.3313609467455621,0.065580670288171,0.0578605935690176
NASA,B0007,1,model_v4,0.3313609467455621,0.0556132143954306,0.0538578117041532
NASA,B0007,2,model_v2_1,0.2958579881656805,0.0587290333188181,0.057012460768585
NASA,B0007,2,model_v3,0.3313609467455621,0.067071163839365,0.0663723035801196
NASA,B0007,2,model_v4,0.3431952662721893,0.0513657492610323,0.0489995641092575
NASA,B0007,3,model_v2_1,0.2781065088757396,0.0492862798024012,0.0399965755428688
NASA,B0007,3,model_v3,0.3550295857988165,0.0787684168906393,0.0778261802780588
NASA,B0007,3,model_v4,0.378698224852071,0.065407949063044,0.0619788604070664
NASA,B0007,4,model_v2_1,0.378698224852071,0.0733151091074276,0.072151585910028
NASA,B0007,4,model_v3,0.3372781065088757,0.0842079578041174,0.0764256121512058
NASA,B0007,4,model_v4,0.3609467455621302,0.0670420027686435,0.0647623194035088
NASA,B0007,5,model_v2_1,0.3431952662721893,0.0558972893285272,0.0534379367181404
NASA,B0007,5,model_v3,0.3372781065088757,0.0595246872182969,0.0578557426079931
NASA,B0007,5,model_v4,0.3254437869822485,0.0552268266120001,0.0486289225598292
NASA,B0018,1,model_v2_1,0.0618556701030927,0.0193026153537796,0.016729426930543
NASA,B0018,1,model_v3,0.0206185567010309,0.0212780073995873,0.0185175021356892
NASA,B0018,1,model_v4,0.0103092783505154,0.0180887637664068,0.013737311718236
NASA,B0018,2,model_v2_1,0.1134020618556701,0.0203235450359021,0.0140050953899326
NASA,B0018,2,model_v3,0.0824742268041237,0.0174110471271725,0.0128002749232527
NASA,B0018,2,model_v4,0.0103092783505154,0.0169389571340414,0.0129256044409366
NASA,B0018,3,model_v2_1,0.0,0.0164684232648471,0.0132878507931046
NASA,B0018,3,model_v3,0.0618556701030927,0.0202142987748527,0.0139622511856746
NASA,B0018,3,model_v4,0.0515463917525773,0.0163599408094562,0.0127813517647677
NASA,B0018,4,model_v2_1,0.0103092783505154,0.0201957214157359,0.0135301887467483
NASA,B0018,4,model_v3,0.1030927835051546,0.0424319248149978,0.0349469362035666
NASA,B0018,4,model_v4,0.0206185567010309,0.0225479518721732,0.0152772149380033
NASA,B0018,5,model_v2_1,0.0103092783505154,0.0159947270103449,0.0120705861235961
NASA,B0018,5,model_v3,0.0,0.0192884639642866,0.013462049385885
NASA,B0018,5,model_v4,0.0,0.021861606189628,0.0184489388395905
CALCE,CS2_35,1,model_v2_1,0.0062402496099844,0.018682148120832,0.0143773471230943
CALCE,CS2_35,1,model_v3,0.0499219968798752,0.0488059647634881,0.039698579025573
CALCE,CS2_35,1,model_v4,0.1294851794071763,0.0377609226319707,0.0309602602811142
CALCE,CS2_35,2,model_v2_1,0.0124804992199688,0.0212677503922673,0.0179680784981485
CALCE,CS2_35,2,model_v3,0.0078003120124804,0.0395526872156629,0.034709864290502
CALCE,CS2_35,2,model_v4,0.0296411856474258,0.0232798305934559,0.0195833523036839
CALCE,CS2_35,3,model_v2_1,0.0202808112324493,0.0745497101053926,0.0682942623078238
CALCE,CS2_35,3,model_v3,0.0093603744149766,0.0165230589783089,0.0130514719851591
CALCE,CS2_35,3,model_v4,0.0546021840873634,0.0596312599387604,0.0520381251947935
CALCE,CS2_35,4,model_v2_1,0.0686427457098284,0.0451942839798888,0.0372227422932354
CALCE,CS2_35,4,model_v3,0.0655226209048362,0.0329454437334791,0.0276380122268041
CALCE,CS2_35,4,model_v4,0.0109204368174727,0.1205591920800801,0.1144076078232324
CALCE,CS2_35,5,model_v2_1,0.0031201248049922,0.0275956262171085,0.022140430057025
CALCE,CS2_35,5,model_v3,0.0358814352574103,0.021195424571994,0.0178577588731288
CALCE,CS2_35,5,model_v4,0.0296411856474258,0.0269651910646399,0.0227199439523261
CALCE,CS2_36,1,model_v2_1,0.2687140115163148,0.0254013271366067,0.0213224884994699
CALCE,CS2_36,1,model_v3,0.3205374280230326,0.0443225029671395,0.0415730589412113
CALCE,CS2_36,1,model_v4,0.4261036468330134,0.033090145241723,0.0240001534625227
CALCE,CS2_36,2,model_v2_1,0.1957773512476007,0.0185542441035389,0.0141461759543202
CALCE,CS2_36,2,model_v3,0.255278310940499,0.0409922407768978,0.0274529300095206
CALCE,CS2_36,2,model_v4,0.2898272552783109,0.03528107492538,0.0316579325978733
CALCE,CS2_36,3,model_v2_1,0.2802303262955854,0.082720146765868,0.0789316821756075
CALCE,CS2_36,3,model_v3,0.2783109404990403,0.0209164280504619,0.0163421439435793
CALCE,CS2_36,3,model_v4,0.3301343570057581,0.0494602842373075,0.0333078457510254
CALCE,CS2_36,4,model_v2_1,0.3512476007677543,0.0402380788212073,0.037249984008779
CALCE,CS2_36,4,model_v3,0.3416506717850288,0.0323206770510615,0.0233350852299551
CALCE,CS2_36,4,model_v4,0.2303262955854126,0.140318962580037,0.1347693880048188
CALCE,CS2_36,5,model_v2_1,0.2687140115163148,0.026434570262638,0.0227196727611129
CALCE,CS2_36,5,model_v3,0.3243761996161228,0.0223537930789418,0.0149198086234729
CALCE,CS2_36,5,model_v4,0.2936660268714011,0.0341849470985946,0.0313103248826948
CALCE,CS2_37,1,model_v2_1,0.0976290097629009,0.0362751747540629,0.0241138676432146
CALCE,CS2_37,1,model_v3,0.0599721059972106,0.0507152164126067,0.0420179634474272
CALCE,CS2_37,1,model_v4,0.0125523012552301,0.0327910512592989,0.0273836560995338
CALCE,CS2_37,2,model_v2_1,0.0948396094839609,0.0399376222830306,0.0269986620210153
CALCE,CS2_37,2,model_v3,0.1115760111576011,0.0673293889352791,0.0480037154081029
CALCE,CS2_37,2,model_v4,0.0794979079497908,0.0333069917077476,0.0275995343040136
CALCE,CS2_37,3,model_v2_1,0.0864714086471408,0.0741036525536957,0.068799150552089
CALCE,CS2_37,3,model_v3,0.0962343096234309,0.0376698928330515,0.0234401301742515
CALCE,CS2_37,3,model_v4,0.0557880055788005,0.055222618773718,0.0483834575945578
CALCE,CS2_37,4,model_v2_1,0.0432357043235704,0.0474378176680789,0.0396009550263814
CALCE,CS2_37,4,model_v3,0.0460251046025104,0.0314140215110279,0.0251099228315724
CALCE,CS2_37,4,model_v4,0.1157601115760111,0.1165233880328035,0.1092870283247548
CALCE,CS2_37,5,model_v2_1,0.100418410041841,0.0374563279434768,0.0289678655671203
CALCE,CS2_37,5,model_v3,0.0697350069735007,0.0306397913299596,0.025303434728289
CALCE,CS2_37,5,model_v4,0.0781032078103207,0.0348800687279945,0.0294507037571022
CALCE,CS2_38,1,model_v2_1,0.1246648793565683,0.055967822096907,0.0345631291930765
CALCE,CS2_38,1,model_v3,0.0884718498659517,0.0570093611497938,0.0475278451869372
CALCE,CS2_38,1,model_v4,0.0160857908847185,0.0290608556579002,0.0242397109915009
CALCE,CS2_38,2,model_v2_1,0.1380697050938338,0.0765253027602357,0.0442727385827748
CALCE,CS2_38,2,model_v3,0.1340482573726541,0.0900071053554411,0.0575499225359123
CALCE,CS2_38,2,model_v4,0.1072386058981233,0.0515981118418031,0.0378366279026742
CALCE,CS2_38,3,model_v2_1,0.1152815013404825,0.0791762255118544,0.0749004267948175
CALCE,CS2_38,3,model_v3,0.1206434316353887,0.0601356959674277,0.0346020894387688
CALCE,CS2_38,3,model_v4,0.0804289544235924,0.0614160521141659,0.0512210610401038
CALCE,CS2_38,4,model_v2_1,0.0683646112600536,0.0528035369023646,0.0436153631321476
CALCE,CS2_38,4,model_v3,0.0723860589812332,0.045656275757107,0.0297057213035356
CALCE,CS2_38,4,model_v4,0.1447721179624665,0.1185755033673047,0.1135963781559283
CALCE,CS2_38,5,model_v2_1,0.1260053619302949,0.0496350247596545,0.0356595204559838
CALCE,CS2_38,5,model_v3,0.0911528150134048,0.0438506448894416,0.0322771532125662
CALCE,CS2_38,5,model_v4,0.1058981233243967,0.049465944055636,0.0380808220628151
