dataset,test_bat,seed,model,re,rmse,mae,time
CALCE,CS2_37,4,model_v4_1,0.0474198047419804,0.0211599570970756,0.0161681978363366,1426.46621966362
CALCE,CS2_37,4,model_v5,0.1143654114365411,0.0510037183545912,0.03186860331767,680.0135636329651
CALCE,CS2_37,5,model_v2_2,0.0864714086471408,0.0313612789781326,0.0186673822653029,624.2160501480103
CALCE,CS2_37,5,model_v4_1,0.1115760111576011,0.0433769385342005,0.0335268912520938,1443.9175326824188
CALCE,CS2_37,5,model_v5,0.1338912133891213,0.0715739376175309,0.066961240628324,692.9408097267151
CALCE,CS2_38,1,model_v2_2,0.0616621983914209,0.0300943085278389,0.0204976383511145,630.0925269126892
CALCE,CS2_38,1,model_v4_1,0.113941018766756,0.0571892792122607,0.0381025383421833,1432.914713859558
CALCE,CS2_38,1,model_v5,0.1045576407506702,0.048366466033635,0.029163814612937,676.7022635936737
CALCE,CS2_38,2,model_v2_2,0.1595174262734584,0.1110195477733437,0.0557497371504265,642.0168373584747
CALCE,CS2_38,2,model_v4_1,0.1407506702412868,0.0827938903899565,0.0730941424419668,1428.8607716560364
CALCE,CS2_38,2,model_v5,0.1058981233243967,0.0504556209589057,0.0396746106216185,697.9681897163391
CALCE,CS2_38,3,model_v2_2,0.0134048257372654,0.0166532208168406,0.0117502020765326,627.6919896602631
CALCE,CS2_38,3,model_v4_1,0.2479892761394102,0.1899451458364562,0.1077340539363188,1434.9648139476776
CALCE,CS2_38,3,model_v5,0.1152815013404825,0.0538205477953288,0.0392043166791201,683.7617630958557
CALCE,CS2_38,4,model_v2_2,0.1166219839142091,0.0675833340000121,0.0594966176382279,627.80375623703
CALCE,CS2_38,4,model_v4_1,0.1260053619302949,0.0885326581991804,0.0421033059237576,1428.4297120571136
CALCE,CS2_38,4,model_v5,0.1541554959785522,0.0736244873383485,0.0649599426365964,683.9737961292267
CALCE,CS2_38,5,model_v2_2,0.4075067024128686,0.2967877355602403,0.2061026428181452,632.5901262760162
CALCE,CS2_38,5,model_v4_1,0.1715817694369973,0.1058691919503018,0.0591270170684305,1437.09232711792
CALCE,CS2_38,5,model_v5,0.1085790884718498,0.0591687212890667,0.0521606806865903,686.2705023288727
NASA,B0005,1,model_v1,0.192,0.0425662574360041,0.0404151001041049,90.99322366714478
NASA,B0005,1,model_v2,0.232,0.0655936748007286,0.0627309828656489,87.76653289794922
NASA,B0005,1,model_v2_1,0.176,0.0310419365226082,0.028201485548431,87.6934449672699
NASA,B0005,1,model_v3,0.168,0.0408151364899082,0.0394864023211859,94.9025421142578
NASA,B0005,1,model_v4,0.192,0.0442609096596123,0.0430851913306651,285.84283208847046
NASA,B0005,2,model_v1,0.208,0.0536934711232443,0.0516036695229858,84.48357844352722
NASA,B0005,2,model_v2,0.208,0.0630904486546615,0.060481938849782,87.83983898162842
NASA,B0005,2,model_v2_1,0.168,0.0486096238261275,0.0469139695100788,87.91508460044861
NASA,B0005,2,model_v3,0.2,0.0502003434187181,0.0482377946856879,95.02346563339232
NASA,B0005,2,model_v4,0.224,0.046161068566296,0.0425705697491588,284.8840036392212
NASA,B0005,3,model_v1,0.28,0.059671558208128,0.0573619736377212,84.02831077575684
NASA,B0005,3,model_v2,0.208,0.0439194348408028,0.0425597916982549,87.44442796707153
NASA,B0005,3,model_v2_1,0.224,0.0602237508128347,0.0576843253996354,88.66606593132019
NASA,B0005,3,model_v3,0.168,0.0602735559352121,0.0554561933179474,95.11607432365416
NASA,B0005,3,model_v4,0.176,0.0479516575333509,0.045602325555268,284.99229407310486
NASA,B0005,4,model_v1,0.2,0.0772081668505374,0.0710684122228801,84.29041814804077
NASA,B0005,4,model_v2,0.216,0.0517491081720318,0.0500389054214149,87.87194275856018
NASA,B0005,4,model_v2_1,0.2,0.0725359783978788,0.067443729096483,88.3836739063263
NASA,B0005,4,model_v3,0.216,0.0539704458403252,0.0519989565905041,96.4921100139618
NASA,B0005,4,model_v4,0.272,0.0571299475478809,0.0552785091377139,286.8259823322296
NASA,B0005,5,model_v1,0.16,0.0261750196505018,0.0232563532677104,85.08048915863037
NASA,B0005,5,model_v2,0.248,0.0709768706638431,0.0658993995451012,88.19363641738892
NASA,B0005,5,model_v2_1,0.208,0.0464499971557638,0.0453034574765638,89.28827238082886
NASA,B0005,5,model_v3,0.16,0.0613237686374963,0.0568240067214007,96.37555360794067
NASA,B0005,5,model_v4,0.408,0.0962564802621488,0.0892393836120907,287.8123724460602
NASA,B0006,1,model_v1,1.0,0.106192101898587,0.0910956557796707,85.33878350257874
NASA,B0006,1,model_v2,1.0,0.1163253016970802,0.1001826772647468,87.3054575920105
NASA,B0006,1,model_v2_1,1.0,0.109188866063394,0.0933218168391836,88.31288576126099
NASA,B0006,1,model_v3,0.2752293577981651,0.0609427824270842,0.0522241193534791,94.99100518226624
NASA,B0006,1,model_v4,1.0,0.117838247030306,0.1007898282696983,288.02763962745667
NASA,B0006,2,model_v1,0.4678899082568807,0.0759417609720652,0.0654723427175097,84.70827078819275
NASA,B0006,2,model_v2,0.4036697247706422,0.053233385817129,0.0459622622852762,88.48759198188782
NASA,B0006,2,model_v2_1,0.4678899082568807,0.0892621852182071,0.0763452334192713,89.13975620269775
NASA,B0006,2,model_v3,0.2293577981651376,0.059954999030412,0.0519336172724322,94.82388257980348
NASA,B0006,2,model_v4,1.0,0.1276189039273204,0.1110528397825405,286.7371394634247
NASA,B0006,3,model_v1,0.3211009174311927,0.0781844394429958,0.066775303717699,83.53525805473328
NASA,B0006,3,model_v2,1.0,0.1297226249234219,0.1120294676553767,87.4931972026825
NASA,B0006,3,model_v2_1,0.4954128440366973,0.0950166940643092,0.0813132581608129,88.53726243972778
NASA,B0006,3,model_v3,0.4770642201834862,0.0827926012599587,0.0714298263965727,94.74392461776732
NASA,B0006,3,model_v4,0.2568807339449541,0.0605992352444542,0.0518639605306094,301.04077792167664
NASA,B0006,4,model_v1,0.2660550458715596,0.0334050942535809,0.0269704555462312,97.54318523406982
NASA,B0006,4,model_v2,0.4495412844036697,0.0938877793078178,0.0808654221872989,89.44218826293945
NASA,B0006,4,model_v2_1,0.4495412844036697,0.1058057502408625,0.0910206667274416,88.54435753822327
NASA,B0006,4,model_v3,0.3853211009174312,0.0683827890740743,0.0580231146958718,94.21375703811646
NASA,B0006,4,model_v4,0.4403669724770642,0.0952969720610961,0.0816433595790517,284.053658246994
NASA,B0006,5,model_v1,0.4220183486238532,0.088031283622038,0.0755245353878798,84.64182591438293
NASA,B0006,5,model_v2,0.4587155963302752,0.0853468729611856,0.0728296536532043,87.7190089225769
NASA,B0006,5,model_v2_1,0.3394495412844037,0.0747578203734063,0.0633975075649595,88.89400815963745
NASA,B0006,5,model_v3,0.3027522935779816,0.053615122584252,0.0458951628289967,95.04616379737854
NASA,B0006,5,model_v4,1.0,0.114376490709729,0.0870559215253436,285.8041796684265
NASA,B0007,1,model_v1,0.3372781065088757,0.0780266005035796,0.0702760544703403,84.19493627548218
NASA,B0007,1,model_v2,0.3550295857988165,0.0780838239130336,0.0772662110024534,87.7262670993805
NASA,B0007,1,model_v2_1,0.3668639053254438,0.0620192124539857,0.0586761491197113,88.33492469787598
NASA,B0007,1,model_v3,0.3905325443786982,0.0712985564338979,0.0672881850455827,94.2559506893158
NASA,B0007,1,model_v4,0.3372781065088757,0.0635781790715967,0.0620083619792203,288.7802999019623
NASA,B0007,2,model_v1,0.3609467455621302,0.0626018952543198,0.0611939381376317,84.25597906112671
NASA,B0007,2,model_v2,0.378698224852071,0.0745308010213555,0.073165311711259,86.5874547958374
NASA,B0007,2,model_v2_1,0.408284023668639,0.0691017949550224,0.0668722634447672,87.55344295501709
NASA,B0007,2,model_v3,0.3964497041420118,0.0779829042630799,0.0761553810538535,94.58341193199158
NASA,B0007,2,model_v4,0.3254437869822485,0.0621769257723568,0.0532917635339263,287.13995146751404
NASA,B0007,3,model_v1,0.3668639053254438,0.0836078086922533,0.0792397242971221,85.15185046195984
NASA,B0007,3,model_v2,0.4142011834319526,0.0840591334418157,0.0820540394104889,87.5927894115448
NASA,B0007,3,model_v2_1,0.3727810650887574,0.0645551677753659,0.0632300172202453,88.20525121688843
NASA,B0007,3,model_v3,0.3964497041420118,0.068289359676113,0.0666611060044071,95.06632018089294
NASA,B0007,3,model_v4,0.3668639053254438,0.0634967499104366,0.0618655702872719,286.2843668460846
NASA,B0007,4,model_v1,0.3964497041420118,0.0786005854610932,0.0771397100780251,84.9261965751648
NASA,B0007,4,model_v2,0.3431952662721893,0.0558859659645712,0.0533101988999398,87.71372532844543
NASA,B0007,4,model_v2_1,0.3491124260355029,0.0641435421835806,0.0629095284993078,88.43077754974365
NASA,B0007,4,model_v3,0.3550295857988165,0.0552749218302169,0.0532573178928388,93.95692563056946
NASA,B0007,4,model_v4,0.408284023668639,0.0698008037112167,0.0667405776953891,283.0331418514252
NASA,B0007,5,model_v1,0.3964497041420118,0.0719400145994966,0.0691478110052907,83.8461799621582
NASA,B0007,5,model_v2,0.3846153846153846,0.0617497147358249,0.0591311390329536,85.70536684989929
NASA,B0007,5,model_v2_1,0.3550295857988165,0.0672864259624111,0.0616229540608014,86.7750244140625
NASA,B0007,5,model_v3,0.3431952662721893,0.0625492068784492,0.0615969870830399,94.3616499900818
NASA,B0007,5,model_v4,0.2426035502958579,0.0841661343760449,0.075080906821984,286.2377803325653
NASA,B0018,1,model_v1,0.1443298969072164,0.0341739301336324,0.0304248087750657,85.06581354141235
NASA,B0018,1,model_v2,0.1855670103092783,0.018167784727496,0.0150537243361603,88.50059247016907
NASA,B0018,1,model_v2_1,0.0515463917525773,0.0240686039429561,0.0166541205442357,89.08904910087585
NASA,B0018,1,model_v3,0.2164948453608247,0.0435352447964147,0.0398011148713933,94.73321151733398
NASA,B0018,1,model_v4,0.1752577319587628,0.0353152153913441,0.0322239068669582,290.14038467407227
NASA,B0018,2,model_v1,0.2577319587628865,0.0188022593766372,0.0149745938985312,84.83035564422607
NASA,B0018,2,model_v2,0.0927835051546391,0.0335692231429258,0.0264091563622959,87.89949107170105
NASA,B0018,2,model_v2_1,0.2164948453608247,0.0444842772818709,0.0404993891718155,88.26915097236633
NASA,B0018,2,model_v3,0.2577319587628865,0.0176012969813632,0.0135611827328491,95.9703733921051
NASA,B0018,2,model_v4,0.1134020618556701,0.0179288589814129,0.0152165826169305,290.5650486946106
NASA,B0018,3,model_v1,0.2474226804123711,0.0359341439935916,0.0326058269397257,84.60877871513367
NASA,B0018,3,model_v2,0.1134020618556701,0.0205674596206639,0.0182390061433413,88.37176942825317
NASA,B0018,3,model_v2_1,0.1649484536082474,0.0215949323723349,0.0169182396705307,90.0849859714508
NASA,B0018,3,model_v3,0.2886597938144329,0.020212266781525,0.0157046333353062,96.48459696769714
NASA,B0018,3,model_v4,0.1649484536082474,0.0175929490737315,0.0139276140296777,290.98424673080444
NASA,B0018,4,model_v1,0.2474226804123711,0.0273051554590689,0.0205308615343242,85.47363829612732
NASA,B0018,4,model_v2,0.1030927835051546,0.0169859161071676,0.0139582244740526,89.44463014602661
NASA,B0018,4,model_v2_1,0.2061855670103092,0.0188801711805545,0.0151149098550708,89.56473541259766
NASA,B0018,4,model_v3,0.2061855670103092,0.0467394455677549,0.041959386582113,95.8116557598114
NASA,B0018,4,model_v4,0.1855670103092783,0.0169376341029535,0.0134155171185169,290.26974391937256
NASA,B0018,5,model_v1,0.0206185567010309,0.0379805240675046,0.0339851100634575,85.46679401397705
NASA,B0018,5,model_v2,0.2371134020618556,0.0207754898368776,0.0144759872154799,88.028165102005
NASA,B0018,5,model_v2_1,0.2164948453608247,0.0383408538676304,0.0345705880909335,88.1371865272522
NASA,B0018,5,model_v3,0.2474226804123711,0.0273360479359867,0.0246921751713419,96.51654171943665
NASA,B0018,5,model_v4,0.8247422680412371,0.1286499496321033,0.1169316610846916,294.2956476211548
CALCE,CS2_35,1,model_v1,0.0452418096723869,0.0178049392814452,0.0153100695755855,526.4576444625854
CALCE,CS2_35,1,model_v2,0.1123244929797191,0.0289777792370657,0.0252467410670156,544.5942957401276
CALCE,CS2_35,1,model_v2_1,0.1201248049921996,0.0257792731088331,0.0222935294944129,549.3162915706635
CALCE,CS2_35,1,model_v3,0.1154446177847113,0.0192727967561889,0.0150796919598175,592.1870334148407
CALCE,CS2_35,1,model_v4,0.0530421216848674,0.0455872904025872,0.0397052718405158,1762.3278651237488
CALCE,CS2_35,2,model_v1,0.0842433697347894,0.0180407391343994,0.0140720373756076,531.776867389679
CALCE,CS2_35,2,model_v2,0.1326053042121684,0.0188851536526254,0.0158477946046875,546.0212287902832
CALCE,CS2_35,2,model_v2_1,0.0124804992199688,0.0268443056297633,0.0220207370188223,548.6710798740387
CALCE,CS2_35,2,model_v3,0.095163806552262,0.0169287097160961,0.0138459649623184,590.9390552043915
CALCE,CS2_35,2,model_v4,0.2464898595943837,0.1966114321354189,0.1206858257359946,1759.3494160175323
CALCE,CS2_35,3,model_v1,0.1185647425897035,0.0223848109162271,0.0166630066173959,524.600093126297
CALCE,CS2_35,3,model_v2,0.0592823712948517,0.016617843027147,0.0128892632333592,540.4638035297394
CALCE,CS2_35,3,model_v2_1,0.1294851794071763,0.0291864404437565,0.0249148770074104,548.5966033935547
CALCE,CS2_35,3,model_v3,0.0499219968798752,0.0240611723762637,0.0197651475743876,599.1894888877869
CALCE,CS2_35,3,model_v4,0.0015600624024961,0.0199814122218496,0.0160228014139325,1761.8526022434237
CALCE,CS2_35,4,model_v1,0.1060842433697348,0.0664255319380769,0.0551764480840041,529.5483825206757
CALCE,CS2_35,4,model_v2,0.1076443057722308,0.0327865993139662,0.0288165304995882,538.3191599845886
CALCE,CS2_35,4,model_v2_1,0.1248049921996879,0.0174973928764439,0.0132225680429688,539.2137203216553
CALCE,CS2_35,4,model_v3,0.0577223088923556,0.05584067662282,0.0463330756019365,577.2459344863892
CALCE,CS2_35,4,model_v4,0.1201248049921996,0.0304063086941083,0.0271660297596805,1726.8150453567505
CALCE,CS2_35,5,model_v1,0.0109204368174727,0.0159290459726987,0.0121601013098109,512.0793726444244
CALCE,CS2_35,5,model_v2,0.1372854914196568,0.0349641225664934,0.0300499249585079,529.9001305103302
CALCE,CS2_35,5,model_v2_1,0.0624024960998439,0.0362651658887054,0.0321045023467304,541.8659901618958
CALCE,CS2_35,5,model_v3,0.0202808112324493,0.0173125727471241,0.015154130966276,578.3539352416992
CALCE,CS2_35,5,model_v4,1.0,0.032835357264913,0.0248364852763765,1726.912531375885
CALCE,CS2_36,1,model_v1,0.3666026871401152,0.0303648777238849,0.0242657037713271,510.57175040245056
CALCE,CS2_36,1,model_v2,0.4030710172744721,0.0279432699661955,0.0235039993452201,525.0303509235382
CALCE,CS2_36,1,model_v2_1,0.4472168905950096,0.0504949420814582,0.0483094277298825,511.1554639339447
CALCE,CS2_36,1,model_v3,0.4990403071017274,0.0350399005833364,0.0273909884443116,554.8745357990265
CALCE,CS2_36,1,model_v4,0.2072936660268714,0.0464084309207215,0.0446554858867536,1656.5972464084623
CALCE,CS2_36,2,model_v1,0.3761996161228407,0.0244537940525278,0.0190495950959205,492.7801170349121
CALCE,CS2_36,2,model_v2,0.3550863723608445,0.0299188685977042,0.0255794539128605,509.4093508720398
CALCE,CS2_36,2,model_v2_1,0.3531669865642994,0.0300489435747338,0.0261340073978227,514.6943414211273
CALCE,CS2_36,2,model_v3,0.4107485604606526,0.030869451018726,0.0272140408588409,557.410641670227
CALCE,CS2_36,2,model_v4,0.4165067178502879,0.0325002235498447,0.0288945901109495,1661.0326421260834
CALCE,CS2_36,3,model_v1,0.4069097888675624,0.0355242745965507,0.0316867883945216,490.5040576457977
CALCE,CS2_36,3,model_v2,0.4222648752399232,0.0341421508596752,0.0263355060035551,509.39247131347656
CALCE,CS2_36,3,model_v2_1,0.3032629558541266,0.0301451382000056,0.0265642087455769,959.1538062095642
CALCE,CS2_36,3,model_v3,0.3800383877159309,0.0402384099282377,0.0363069772053206,1451.8780267238617
CALCE,CS2_36,3,model_v4,0.3032629558541266,0.0354239295589997,0.0318051848725123,4005.921962976456
CALCE,CS2_36,4,model_v1,0.3243761996161228,0.0412684077532564,0.0373813078895587,912.9788854122162
CALCE,CS2_36,4,model_v2,0.3166986564299424,0.0379572536868509,0.0336752536362158,932.2372221946716
CALCE,CS2_36,4,model_v2_1,0.4069097888675624,0.0264678381708708,0.0224308108999867,961.8721225261688
CALCE,CS2_36,4,model_v3,0.2245681381957773,0.0282543694351803,0.0242158036398016,938.8889389038086
CALCE,CS2_36,4,model_v4,0.3166986564299424,0.0217947946919437,0.0179760787452606,1806.97940659523
CALCE,CS2_36,5,model_v1,0.0499040307101727,0.0512896385411152,0.0500603324297882,769.3689184188843
CALCE,CS2_36,5,model_v2,0.2168905950095969,0.0450675502549649,0.0434120381770962,560.5087869167328
CALCE,CS2_36,5,model_v2_1,0.2879078694817658,0.0224633031279912,0.0154969765581519,561.8749792575836
CALCE,CS2_36,5,model_v3,0.4222648752399232,0.0323194932594312,0.0232038867492626,602.7422018051147
CALCE,CS2_36,5,model_v4,0.218809980806142,0.154599175514062,0.1185186314968861,1725.336465358734
CALCE,CS2_37,1,model_v1,0.1450488145048814,0.0712491900322317,0.0409419080877347,531.8716406822205
CALCE,CS2_37,1,model_v2,0.0962343096234309,0.0386278461094309,0.0234495165831557,562.5806767940521
CALCE,CS2_37,1,model_v2_1,0.1408647140864714,0.0956284362142757,0.0899017412886296,553.1814293861389
